upn,gender_ap2,sen_real,ethnicity_code_real,french_language_ap1,french_language_ap2,french_language_real,pp_bool,fsm_bool,eal_bool
P331215507023,Female,N,bafr,0,0,0,2,2,1
E931252107011,Male,N,both,0,0,0,1,1,1
G931101105054,Male,N,apkn,0,0,0,1,1,1
C330217306007,Female,N,apkn,0,0,0,2,2,1
D931100605053,Female,N,apkn,0,0,0,1,1,1
L931316507001,Male,N,apkn,0,0,0,1,1,1
B931321006021,Male,N,aban,0,0,0,1,1,1
W931101006015,Female,N,woth,0,0,0,1,1,1
Y317207106043,Male,N,aban,0,0,0,1,1,1
B931101006030,Female,N,aban,0,0,0,1,1,1
T931252505038,Male,N,apkn,0,0,0,1,1,1
T931253906007,Male,N,nobt,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
E931384213046,Female,N,wbri,0,0,0,1,1,1
L931252707004,Male,K,wbri,0,0,0,1,1,1
Z931100506018,Female,N,apkn,0,0,0,1,1,1
B931100606014,Male,N,wbri,0,0,0,1,1,1
K931101106001,Male,N,weng,0,0,0,1,1,1
L931101106048,Female,K,aind,0,0,0,1,1,1
R931325307010,Female,N,aind,0,0,0,1,1,1
R931101106034,Male,N,both,0,0,0,2,1,1
M931100605068,Male,N,wbri,0,0,0,1,1,1
B931100605069,Male,N,wbri,0,0,0,1,1,1
R671331305009,Female,N,aoth,0,0,0,1,1,1
D931412018022,Female,N,mwba,0,0,0,1,1,1
C931100605033,Male,N,wbri,0,0,0,1,1,1
H931101106017,Female,N,wbri,0,0,0,2,2,1
V931252107003,Female,N,mwbc,0,0,0,2,1,1
G931100606027,Female,N,apkn,0,0,0,1,1,1
X931101006006,Female,N,woth,0,0,0,1,1,1
L931101006007,Male,N,woth,0,0,0,1,1,1
J931412016033,Female,N,bcrb,0,0,0,2,1,1
A931254306020,Female,N,wbri,0,0,0,1,1,1
L931101005035,Female,N,moth,0,0,0,2,1,1
D931259306070,Female,N,mwbc,0,0,0,2,2,1
N931261207031,Male,N,wbri,0,0,0,2,2,1
H931412014009,Male,N,woth,0,0,0,1,1,1
Y931100605040,Female,N,wbri,0,0,0,1,1,1
H931252106039,Female,N,wbri,0,0,0,2,1,1
P931254306019,Male,N,wbri,0,0,0,2,1,1
W931101106027,Male,N,wbri,0,0,0,1,1,1
U931100606017,Female,N,wbri,0,0,0,1,1,1
R931252107001,Female,N,wbri,0,0,0,2,1,1
M931101106012,Female,N,wbri,0,0,0,2,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
X931100606048,Male,N,wbri,0,0,0,1,1,1
Y931252505053,Male,N,apkn,0,0,0,1,1,1
F931252106030,Female,N,wbri,0,0,0,1,1,1
K931325306003,Male,N,wbri,0,0,0,1,1,1
V931253906018,Male,N,wbri,0,0,0,2,1,1
E931259306032,Female,K,wbri,0,0,0,2,1,1
H931100606018,Female,N,wbri,0,0,0,1,1,1
E931100506033,Female,N,wbri,0,0,0,1,1,1
W931383407006,Female,N,wbri,0,0,0,1,1,1
N931254305056,Male,N,woth,0,0,0,1,1,1
U931252106040,Female,N,wbri,0,0,0,1,1,1
U931321107008,Male,N,wbri,0,0,0,1,1,1
W931412016023,Female,N,aoth,0,0,0,2,2,1
X931412016014,Male,N,aoth,0,0,0,1,1,1
F676234105014,Male,N,aind,0,0,0,1,1,1
W931252106022,Male,N,mwbc,0,0,0,2,1,1
A931412014043,Male,N,wbri,0,0,0,1,1,1
N931101006020,Male,N,apkn,0,0,0,1,1,1
M931325205057,Female,N,woth,0,0,0,2,2,1
A931383807022,Female,N,wbri,0,0,0,1,1,1
G931100506044,Male,K,wbri,0,0,0,2,1,1
N931258912019,Male,N,aoth,0,0,0,1,1,1
F931100605064,Female,N,wbri,0,0,0,1,1,1
D931100606054,Male,N,moth,0,0,0,1,1,1
Q931235206013,Female,N,wbri,0,0,0,2,1,1
J931252111046,Female,N,aind,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
N931383807032,Male,N,wbri,0,0,0,1,1,1
V845215406046,Male,N,woth,0,0,0,1,1,1
A931412017046,Male,N,both,0,0,0,1,1,1
P931101006038,Female,N,mwas,0,0,0,1,1,1
J931252106061,Male,N,wbri,0,0,0,1,1,1
G931259306014,Female,N,wbri,0,0,0,1,1,1
C931100606034,Male,N,wbri,0,0,0,1,1,1
K931100606031,Male,N,wiri,0,0,0,1,1,1
D931252107018,Male,N,wbri,0,0,0,1,2,1
C931100507023,Female,N,wbri,0,0,0,1,1,1
T931252106020,Female,N,moth,0,0,0,2,2,1
H931321107009,Female,N,wbri,0,0,0,1,1,1
P931383807023,Female,N,wbri,0,0,0,1,1,1
H208102705053,Female,N,wbri,0,0,0,1,1,1
X931261206016,Female,N,wbri,0,0,0,2,2,1
