upn,estimate_ap2,actual_ap2,gender_ap2,spanish_1-9_ap1,spanish_1-9_ap2
u931235711035,41,51,Female,5,5
n931252711030,37,39,Female,4,4
k931321611012,28,31,Male,3,3
l931252112002,36,49,Female,5,5
p931325310038,44,47,Male,4,4
e931252510015,44,52,Female,5,5
t313201310021,41,55,Female,5,5
f931321311008,69,73,Female,7,7
t931101110009,41,46,Female,5,5
z931102210003,69,72,Female,7,7
q931252111023,23,29,Male,3,3
h931383611006,46,50,Male,4,4
d825303112031,41,45,Female,4,4
z931101010003,36,39,Male,3,3
e931254309074,37,41,Male,3,3
v931101010010,52,58,Female,5,5
x931383611007,37,45,Female,4,4
p931252110031,18,31,Male,3,3
d931383811010,52,57,Female,6,6
b931252510042,34,39,Male,3,3
a931383611011,44,50,Male,4,4
f931252711004,69,67,Male,6,6
z931252110037,34,40,Female,4,4
w931252511001,69,71,Male,6,6
l931252510019,46,44,Male,4,4
w931252111036,34,41,Female,4,4
a931383611038,65,70,Female,7,7
m931100510014,54,60,Male,5,5
m931252109066,31,34,Female,3,3
p931100610010,61,59,Male,5,5
d931100610009,65,74,Female,7,7
m931252711008,49,52,Male,5,5
z931101110015,61,57,Male,5,5
h931252716051,27,31,Male,3,3
v931100609071,46,50,Female,5,5
n211237810008,61,67,Female,6,6
q931252109070,34,43,Female,4,4
v931253909052,69,79,Male,7,7
w931100610014,46,54,Female,5,5
j931321010029,54,60,Male,5,5
v931321611018,39,50,Female,5,5
e931100609077,65,68,Female,7,7
n931383611019,61,63,Male,5,5
t931252517034,46,45,Female,4,4
m931101110025,46,49,Male,4,4
c931383611022,41,39,Male,3,3
t931252110062,46,50,Male,4,4
l931321611032,37,40,Male,4,4
l931260610077,52,60,Male,5,5
r931412022016,58,60,Male,5,5
u931101110029,49,58,Female,6,6
y931325209062,37,44,Female,4,4
g931252110005,26,33,Male,3,3
c931321310005,36,40,Male,3,3
z203222811011,61,64,Male,6,6
q931101010015,46,55,Female,5,5
v931100610023,36,42,Female,4,4
h931252911041,61,60,Male,5,5
j931321010031,65,76,Male,7,7
g931252113008,36,42,Female,4,4
e931258911003,46,50,Male,4,4
m931383611001,69,82,Female,7,7
j931252911003,49,51,Male,4,4
d931101110037,37,39,Male,3,3
r931325210037,49,57,Female,5,5
h931100610033,44,44,Female,4,4
t931101110038,58,63,Female,6,6
l302202811022,41,45,Female,4,4
f931412020044,34,34,Female,3,3
e931100609048,74,74,Male,6,6
z316209709137,58,58,Female,6,6
q931321111021,79,80,Female,7,7
w931101110013,46,48,Female,5,5
g931252910020,54,69,Male,6,6
x931252515054,54,57,Female,6,6
k931101110043,61,64,Male,5,5
k931252510030,49,55,Female,5,5
u931325310033,46,49,Male,4,4
v931240111043,46,48,Female,5,5
u931100510047,65,70,Female,6,6
h931259410003,25,28,Female,3,3
b931321112019,65,67,Male,6,6
p931100610037,69,75,Female,7,7
t931100610039,65,70,Male,6,6
l931235210033,65,68,Male,6,6
g931100610042,54,61,Female,6,6
d931100610040,79,80,Female,7,7
k931252711026,69,71,Male,6,6
u208257811003,27,31,Male,3,3
z931252711027,19,29,Male,3,3
n931252711028,41,50,Female,5,5
b931101110055,34,43,Female,4,4
d931383811037,25,31,Male,3,3
